"Mutual_Information","Mira_Score","Mean_Distance","Brownian_Covariate","GO"
0.0619437913351318,0.0947189970634176,0.307248237812893,0.271796147668028,"GO:0001709"
0.480829897107937,0.450192863117995,0.0449802466863444,0.0762703962657214,"GO:0048469"
0.0369422070094898,0.0959082168651408,0.0189525542791809,0.0106086774690925,"GO:0051668"
0.0235957329167597,0.00513423808545554,0.0429041564934327,0.0260950708397979,"GO:0032507"
0.0221737683745062,0.00776052173289963,0.0363110076505263,0.0279480160779341,"GO:0006865"
0.000763022196557832,0.000427427634357893,0.0381657514722672,0.027449055093548,"GO:0001525"
0.611145130304896,0.701841537872126,0.334209139578274,0.364045434913007,"GO:0007530"
0.111574162818856,0.125356887539513,0.052265919152493,0.0745300517003535,"GO:0007292"
0.904667445282149,0.901929830842102,0.303934165414611,0.261224423219215,"GO:0007338"
0.104927603123059,0.140981412861211,0.193540339199702,0.186651430632773,"GO:0001819"
0.0176417428904355,0.0791784851639988,0.0172850792970242,0.0486589517265407,"GO:0003014"
0.242053490364209,0.196659849547128,0.457888728163825,0.467072010525338,"GO:0007588"
0.36440877141073,0.21619631493079,0.737013458379948,0.809589115704322,"GO:0048265"
0.22178502166663,0.295207159335101,0.161794333899746,0.148511055837253,"GO:0001974"
0.0841932633326448,0.083037164682104,0.219911164407995,0.234502436813639,"GO:0001894"
0.112434185420511,0.129217471144884,0.0401003500058792,0.0517256265905802,"GO:0007596"
0.545359356650066,0.486399148728028,0.271229397937195,0.232025757027449,"GO:0007589"
0.547600914873498,0.47651520842414,0.169903063399182,0.117038004026813,"GO:0045995"
0.00262941775790407,0.00261570470676512,0.0119792690604812,0.00248822031174186,"GO:0001649"
0.107451238365361,0.150463382469924,0.288070820605869,0.237112049585902,"GO:0022612"
0.143900537332152,0.163198158868748,0.0828253047771535,0.125313631696973,"GO:0031099"
0.00786130282203619,0.0121794960013366,0.123472971216154,0.0962120484559875,"GO:0042472"
0.0157538959824957,0.0183234468613608,0.596592750677311,0.632161219332687,"GO:0048568"
0.00192726316785913,0.00187839104565573,0.644871757690349,0.63980282413133,"GO:0016358"
0.0100271702587818,0.00317463724084154,0.0640409519888787,0.103054011014089,"GO:0060021"
0.00229111893625994,0.00265257337417124,0.277624790724116,0.24637093386289,"GO:0006935"
0.226408419571923,0.214534970825181,0.155003494973182,0.256229976108916,"GO:0001539"
0.682916629428413,0.593065764557646,0.726877682302549,0.73354930615872,"GO:0030317"
0.440885321649274,0.405680926338275,0.024736658206799,0.0645266125957689,"GO:0060491"
0.00961531507963165,0.00186755206806621,0.0335093513415123,0.028654052427401,"GO:0032102"
0.566769540114549,0.451418678768236,0.0791159762840062,0.0928076655473248,"GO:0032410"
0.296582312963086,0.250289817771395,0.212071810766233,0.174139995500214,"GO:0043271"
0.129043690166998,0.187354591171277,0.452054155961978,0.537186889979719,"GO:0002831"
0.00951590377546595,0.0161348829870336,0.0916982398978515,0.0803737430563096,"GO:0001666"
0.169248439414223,0.109447030079152,0.16051409231126,0.141605565975944,"GO:0006986"
0.419392727991577,0.373478735285656,0.386952274844579,0.351328466833191,"GO:0006970"
0.00513652024347826,0.00654425720776665,0.0176361795983871,0.010125575787899,"GO:0006979"
0.105243281586286,0.149338003159812,0.223506779597204,0.175192405351038,"GO:0009408"
0.0689348112352997,0.0568559253934599,0.28809231593279,0.279870184080169,"GO:0009409"
0.0031114412050434,0.00478040716874816,0.461192407571108,0.515346085447577,"GO:0007611"
0.779569903699675,0.703025208274869,0.742347690049585,0.713369514795829,"GO:0007631"
0.530464617116353,0.586200488266674,0.814503392227076,0.853739066811604,"GO:0001964"
0.0365547753593272,0.0197529521581919,0.0194072073198137,0.0107254188627126,"GO:0009612"
0.0290874803476606,0.0116450672013955,0.524817217079255,0.562816613454688,"GO:0002347"
0.104834353343259,0.0719369765386815,0.782199607288793,0.793894523339722,"GO:0009595"
0.0267950486788091,0.0141767125034783,0.00994323500171519,0.0308839437525361,"GO:0007584"
0.00470049075271348,0.00740728777211316,0.126583479619105,0.0902547022636983,"GO:0042493"
0.00594049822762218,0.00447224397990875,0.517075462887215,0.479794647769651,"GO:0009636"
0.436292592761192,0.466249297561082,0.619360152115239,0.696515214017871,"GO:0009593"
